time	species	transcript
41	protein1	1.6400000000000001
41	protein2	4.51
41	protein3	6.5600000000000005
42	protein1	1.68
42	protein2	4.62
42	protein3	6.72
43	protein1	1.72
43	protein2	4.73
43	protein3	6.88
44	protein1	1.76
44	protein2	4.84
44	protein3	7.04
45	protein1	1.8
45	protein2	4.95
45	protein3	7.2
46	protein1	1.84
46	protein2	5.06
46	protein3	7.36
47	protein1	1.8800000000000001
47	protein2	5.17
47	protein3	7.5200000000000005
48	protein1	1.92
48	protein2	5.28
48	protein3	7.68
49	protein1	1.96
49	protein2	5.39
49	protein3	7.84
50	protein1	2.0
50	protein2	5.5
50	protein3	8.0
51	protein1	2.04
51	protein2	5.61
51	protein3	8.16
52	protein1	2.08
52	protein2	5.72
52	protein3	8.32
53	protein1	2.12
53	protein2	5.83
53	protein3	8.48
54	protein1	2.16
54	protein2	5.94
54	protein3	8.64
55	protein1	2.2
55	protein2	6.05
55	protein3	8.8
56	protein1	2.24
56	protein2	6.16
56	protein3	8.96
57	protein1	2.2800000000000002
57	protein2	6.2700000000000005
57	protein3	9.120000000000001
58	protein1	2.32
58	protein2	6.38
58	protein3	9.28
59	protein1	2.36
59	protein2	6.49
59	protein3	9.44
60	protein1	2.4
60	protein2	6.6
60	protein3	9.6
61	protein1	2.44
61	protein2	6.71
61	protein3	9.76
62	protein1	2.48
62	protein2	6.82
62	protein3	9.92
63	protein1	2.52
63	protein2	6.93
63	protein3	10.08
64	protein1	2.56
64	protein2	7.04
64	protein3	10.24
65	protein1	2.6
65	protein2	7.15
65	protein3	10.4
66	protein1	2.64
66	protein2	7.26
66	protein3	10.56
67	protein1	2.68
67	protein2	7.37
67	protein3	10.72
68	protein1	2.72
68	protein2	7.48
68	protein3	10.88
69	protein1	2.7600000000000002
69	protein2	7.59
69	protein3	11.040000000000001
70	protein1	2.8000000000000003
70	protein2	7.7
70	protein3	11.200000000000001
71	protein1	2.84
71	protein2	7.81
71	protein3	11.36
72	protein1	2.88
72	protein2	7.92
72	protein3	11.52
73	protein1	2.92
73	protein2	8.03
73	protein3	11.68
74	protein1	2.96
74	protein2	8.14
74	protein3	11.84
75	protein1	3.0
75	protein2	8.25
75	protein3	12.0
76	protein1	3.04
76	protein2	8.36
76	protein3	12.16
77	protein1	3.08
77	protein2	8.47
77	protein3	12.32
78	protein1	3.12
78	protein2	8.58
78	protein3	12.48
79	protein1	3.16
79	protein2	8.69
79	protein3	12.64
80	protein1	3.2
80	protein2	8.8
80	protein3	12.8
81	protein1	3.24
81	protein2	8.91
81	protein3	12.96
82	protein1	3.2800000000000002
82	protein2	9.02
82	protein3	13.120000000000001
83	protein1	3.3200000000000003
83	protein2	9.13
83	protein3	13.280000000000001
84	protein1	3.36
84	protein2	9.24
84	protein3	13.44
85	protein1	3.4
85	protein2	9.35
85	protein3	13.6
86	protein1	3.44
86	protein2	9.46
86	protein3	13.76
87	protein1	3.48
87	protein2	9.57
87	protein3	13.92
88	protein1	3.52
88	protein2	9.68
88	protein3	14.08
89	protein1	3.56
89	protein2	9.790000000000001
89	protein3	14.24
90	protein1	3.6
90	protein2	9.9
90	protein3	14.4
91	protein1	3.64
91	protein2	10.01
91	protein3	14.56
92	protein1	3.68
92	protein2	10.12
92	protein3	14.72
93	protein1	3.72
93	protein2	10.23
93	protein3	14.88
94	protein1	3.7600000000000002
94	protein2	10.34
94	protein3	15.040000000000001
95	protein1	3.8000000000000003
95	protein2	10.45
95	protein3	15.200000000000001
96	protein1	3.84
96	protein2	10.56
96	protein3	15.36
97	protein1	3.88
97	protein2	10.67
97	protein3	15.52
98	protein1	3.92
98	protein2	10.78
98	protein3	15.68
99	protein1	3.96
99	protein2	10.89
99	protein3	15.84
100	protein1	4.0
100	protein2	11.0
100	protein3	16.0
101	protein1	4.04
101	protein2	11.11
101	protein3	16.16
102	protein1	4.08
102	protein2	11.22
102	protein3	16.32
103	protein1	4.12
103	protein2	11.33
103	protein3	16.48
104	protein1	4.16
104	protein2	11.44
104	protein3	16.64
105	protein1	4.2
105	protein2	11.55
105	protein3	16.8
106	protein1	4.24
106	protein2	11.66
106	protein3	16.96
107	protein1	4.28
107	protein2	11.77
107	protein3	17.12
108	protein1	4.32
108	protein2	11.88
108	protein3	17.28
109	protein1	4.36
109	protein2	11.99
109	protein3	17.44
110	protein1	4.4
110	protein2	12.1
110	protein3	17.6
111	protein1	4.44
111	protein2	12.21
111	protein3	17.76
112	protein1	4.48
112	protein2	12.32
112	protein3	17.92
113	protein1	4.5200000000000005
113	protein2	12.43
113	protein3	18.080000000000002
114	protein1	4.5600000000000005
114	protein2	12.540000000000001
114	protein3	18.240000000000002
115	protein1	4.6000000000000005
115	protein2	12.65
115	protein3	18.400000000000002
116	protein1	4.64
116	protein2	12.76
116	protein3	18.56
117	protein1	4.68
117	protein2	12.87
117	protein3	18.72
118	protein1	4.72
118	protein2	12.98
118	protein3	18.88
119	protein1	4.76
119	protein2	13.09
119	protein3	19.04
120	protein1	4.8
120	protein2	13.2
120	protein3	19.2
121	protein1	4.84
121	protein2	13.31
121	protein3	19.36
122	protein1	4.88
122	protein2	13.42
122	protein3	19.52
123	protein1	4.92
123	protein2	13.53
123	protein3	19.68
124	protein1	4.96
124	protein2	13.64
124	protein3	19.84
125	protein1	5.0
125	protein2	13.75
125	protein3	20.0
126	protein1	5.04
126	protein2	13.86
126	protein3	20.16
127	protein1	5.08
127	protein2	13.97
127	protein3	20.32
128	protein1	5.12
128	protein2	14.08
128	protein3	20.48
129	protein1	5.16
129	protein2	14.19
129	protein3	20.64
130	protein1	5.2
130	protein2	14.3
130	protein3	20.8
131	protein1	5.24
131	protein2	14.41
131	protein3	20.96
132	protein1	5.28
132	protein2	14.52
132	protein3	21.12
133	protein1	5.32
133	protein2	14.63
133	protein3	21.28
134	protein1	5.36
134	protein2	14.74
134	protein3	21.44
135	protein1	5.4
135	protein2	14.85
135	protein3	21.6
136	protein1	5.44
136	protein2	14.96
136	protein3	21.76
137	protein1	5.48
137	protein2	15.07
137	protein3	21.92
138	protein1	5.5200000000000005
138	protein2	15.18
138	protein3	22.080000000000002
139	protein1	5.5600000000000005
139	protein2	15.290000000000001
139	protein3	22.240000000000002
140	protein1	5.6000000000000005
140	protein2	15.4
140	protein3	22.400000000000002
141	protein1	5.64
141	protein2	15.51
141	protein3	22.56
142	protein1	5.68
142	protein2	15.62
142	protein3	22.72
143	protein1	5.72
143	protein2	15.73
143	protein3	22.88
144	protein1	5.76
144	protein2	15.84
144	protein3	23.04
145	protein1	5.8
145	protein2	15.95
145	protein3	23.2
146	protein1	5.84
146	protein2	16.06
146	protein3	23.36
147	protein1	5.88
147	protein2	16.17
147	protein3	23.52
148	protein1	5.92
148	protein2	16.28
148	protein3	23.68
149	protein1	5.96
149	protein2	16.39
149	protein3	23.84
150	protein1	6.0
150	protein2	16.5
150	protein3	24.0
151	protein1	6.04
151	protein2	16.5
151	protein3	24.16
152	protein1	6.08
152	protein2	16.5
152	protein3	24.32
153	protein1	6.12
153	protein2	16.5
153	protein3	24.48
154	protein1	6.16
154	protein2	16.5
154	protein3	24.64
155	protein1	6.2
155	protein2	16.5
155	protein3	24.8
156	protein1	6.24
156	protein2	16.5
156	protein3	24.96
157	protein1	6.28
157	protein2	16.5
157	protein3	25.12
158	protein1	6.32
158	protein2	16.5
158	protein3	25.28
159	protein1	6.36
159	protein2	16.5
159	protein3	25.44
160	protein1	6.4
160	protein2	16.5
160	protein3	25.6
161	protein1	6.44
161	protein2	16.5
161	protein3	25.76
162	protein1	6.48
162	protein2	16.5
162	protein3	25.92
163	protein1	6.5200000000000005
163	protein2	16.5
163	protein3	26.080000000000002
164	protein1	6.5600000000000005
164	protein2	16.5
164	protein3	26.240000000000002
165	protein1	6.6000000000000005
165	protein2	16.5
165	protein3	26.400000000000002
166	protein1	6.640000000000001
166	protein2	16.5
166	protein3	26.560000000000002
167	protein1	6.68
167	protein2	16.5
167	protein3	26.72
168	protein1	6.72
168	protein2	16.5
168	protein3	26.88
169	protein1	6.76
169	protein2	16.5
169	protein3	27.04
170	protein1	6.8
170	protein2	16.5
170	protein3	27.2
171	protein1	6.84
171	protein2	16.5
171	protein3	27.36
172	protein1	6.88
172	protein2	16.5
172	protein3	27.52
173	protein1	6.92
173	protein2	16.5
173	protein3	27.68
174	protein1	6.96
174	protein2	16.5
174	protein3	27.84
175	protein1	7.0
175	protein2	16.5
175	protein3	28.0
176	protein1	7.04
176	protein2	16.5
176	protein3	28.16
177	protein1	7.08
177	protein2	16.5
177	protein3	28.32
178	protein1	7.12
178	protein2	16.5
178	protein3	28.48
179	protein1	7.16
179	protein2	16.5
179	protein3	28.64
180	protein1	7.2
180	protein2	16.5
180	protein3	28.8
181	protein1	7.24
181	protein2	16.5
181	protein3	28.96
182	protein1	7.28
182	protein2	16.5
182	protein3	29.12
183	protein1	7.32
183	protein2	16.5
183	protein3	29.28
184	protein1	7.36
184	protein2	16.5
184	protein3	29.44
185	protein1	7.4
185	protein2	16.5
185	protein3	29.6
186	protein1	7.44
186	protein2	16.5
186	protein3	29.76
187	protein1	7.48
187	protein2	16.5
187	protein3	29.92
188	protein1	7.5200000000000005
188	protein2	16.5
188	protein3	30.080000000000002
189	protein1	7.5600000000000005
189	protein2	16.5
189	protein3	30.240000000000002
190	protein1	7.6000000000000005
190	protein2	16.5
190	protein3	30.400000000000002
191	protein1	7.640000000000001
191	protein2	16.5
191	protein3	30.560000000000002
192	protein1	7.68
192	protein2	16.5
192	protein3	30.72
193	protein1	7.72
193	protein2	16.5
193	protein3	30.88
194	protein1	7.76
194	protein2	16.5
194	protein3	31.04
195	protein1	7.8
195	protein2	16.5
195	protein3	31.2
196	protein1	7.84
196	protein2	16.5
196	protein3	31.36
197	protein1	7.88
197	protein2	16.5
197	protein3	31.52
198	protein1	7.92
198	protein2	16.5
198	protein3	31.68
199	protein1	7.96
199	protein2	16.5
199	protein3	31.84
200	protein1	8.0
200	protein2	16.5
200	protein3	32.0
201	protein1	8.040000000000001
201	protein2	16.5
201	protein3	32.160000000000004
202	protein1	8.08
202	protein2	16.5
202	protein3	32.32
203	protein1	8.120000000000001
203	protein2	16.5
203	protein3	32.480000000000004
204	protein1	8.16
204	protein2	16.5
204	protein3	32.64
205	protein1	8.2
205	protein2	16.5
205	protein3	32.8
206	protein1	8.24
206	protein2	16.5
206	protein3	32.96
207	protein1	8.28
207	protein2	16.5
207	protein3	33.12
208	protein1	8.32
208	protein2	16.5
208	protein3	33.28
209	protein1	8.36
209	protein2	16.5
209	protein3	33.44
210	protein1	8.4
210	protein2	16.5
210	protein3	33.6
211	protein1	8.44
211	protein2	16.5
211	protein3	33.76
212	protein1	8.48
212	protein2	16.5
212	protein3	33.92
213	protein1	8.52
213	protein2	16.5
213	protein3	34.08
214	protein1	8.56
214	protein2	16.5
214	protein3	34.24
215	protein1	8.6
215	protein2	16.5
215	protein3	34.4
216	protein1	8.64
216	protein2	16.5
216	protein3	34.56
217	protein1	8.68
217	protein2	16.5
217	protein3	34.72
218	protein1	8.72
218	protein2	16.5
218	protein3	34.88
219	protein1	8.76
219	protein2	16.5
219	protein3	35.04
220	protein1	8.8
220	protein2	16.5
220	protein3	35.2
221	protein1	8.84
221	protein2	16.5
221	protein3	35.36
222	protein1	8.88
222	protein2	16.5
222	protein3	35.52
223	protein1	8.92
223	protein2	16.5
223	protein3	35.68
224	protein1	8.96
224	protein2	16.5
224	protein3	35.84
225	protein1	9.0
225	protein2	16.5
225	protein3	36.0
226	protein1	9.040000000000001
226	protein2	16.5
226	protein3	36.160000000000004
227	protein1	9.08
227	protein2	16.5
227	protein3	36.32
228	protein1	9.120000000000001
228	protein2	16.5
228	protein3	36.480000000000004
229	protein1	9.16
229	protein2	16.5
229	protein3	36.64
230	protein1	9.200000000000001
230	protein2	16.5
230	protein3	36.800000000000004
231	protein1	9.24
231	protein2	16.5
231	protein3	36.96
232	protein1	9.28
232	protein2	16.5
232	protein3	37.12
233	protein1	9.32
233	protein2	16.5
233	protein3	37.28
234	protein1	9.36
234	protein2	16.5
234	protein3	37.44
235	protein1	9.4
235	protein2	16.5
235	protein3	37.6
236	protein1	9.44
236	protein2	16.5
236	protein3	37.76
237	protein1	9.48
237	protein2	16.5
237	protein3	37.92
238	protein1	9.52
238	protein2	16.5
238	protein3	38.08
239	protein1	9.56
239	protein2	16.5
239	protein3	38.24
240	protein1	9.6
240	protein2	16.5
240	protein3	38.4
241	protein1	9.64
241	protein2	16.5
241	protein3	38.56
242	protein1	9.68
242	protein2	16.5
242	protein3	38.72
243	protein1	9.72
243	protein2	16.5
243	protein3	38.88
244	protein1	9.76
244	protein2	16.5
244	protein3	39.04
245	protein1	9.8
245	protein2	16.5
245	protein3	39.2
246	protein1	9.84
246	protein2	16.5
246	protein3	39.36
247	protein1	9.88
247	protein2	16.5
247	protein3	39.52
248	protein1	9.92
248	protein2	16.5
248	protein3	39.68
249	protein1	9.96
249	protein2	16.5
249	protein3	39.84
250	protein1	10.0
250	protein2	16.5
250	protein3	40.0
